V1,V2,V3,V4,V5,V6,V7,V8,t.c.colnames.col_anno2..x...,factor,level,Type
Model7,2,59.8601415779362,0.0200205439474389,75.9979436553393,0.01,Model,adonis_VG_Diet1,Host,Host,BF,Diet1
Model6,5,106.247396455392,0.0355350090053941,54.8021679253663,0.01,Model,adonis_VG_Diet1,Continent,Continent,BF,Diet1
Model5,19,147.532468766884,0.0493430218633204,20.2781234293769,0.01,Model,adonis_VG_Diet1,Country,Country,BF,Diet1
Model4,6,175.237343260348,0.12179526490698,81.3166005641745,0.01,Model,adonis_VG_Diet1,Diease,Diease,BF,Diet1
Model3,1,11.4981208771178,0.0096955571473516,25.6706420170413,0.01,Model,adonis_VG_Diet1,Antibiotic,Antibiotic,BF,Diet1
Model2,35,158.358578458896,0.160604216575497,14.3171842521296,0.01,Model,adonis_VG_Diet1,Nutrition1,Nutrition1,BF,Diet1
Model1,27,402.638424832429,0.134664570894641,42.7382029963381,0.01,Model,adonis_VG_Diet1,Diet1,Diet1,BF,Diet1
Model,1,1.39899038395849,0.00565946784475503,3.3694743960934,0.01,Model,adonis_VG_Nutrition1,Sex,Sex,BF,Nutrition1
Model17,5,81.3784714540005,0.223913634082966,56.0875855798527,0.01,Model,adonis_VG_Nutrition1,Age2,Age2,BF,Nutrition1
Model16,2,37.0237313783207,0.0285047986801035,50.6575172521038,0.01,Model,adonis_VG_Nutrition1,Host,Host,BF,Nutrition1
Model15,2,21.5080720674833,0.0165591970732523,29.0708435748111,0.01,Model,adonis_VG_Nutrition1,Continent,Continent,BF,Nutrition1
Model14,12,48.055310453752,0.0369980793128854,11.0232029256472,0.01,Model,adonis_VG_Nutrition1,Country,Country,BF,Nutrition1
Model13,4,25.9419184238815,0.0874574851667327,19.3355896800186,0.01,Model,adonis_VG_Nutrition1,Diease,Diease,BF,Nutrition1
Model12,1,7.80566745242527,0.0193961728038441,18.6325958297186,0.01,Model,adonis_VG_Nutrition1,Antibiotic,Antibiotic,BF,Nutrition1
Model11,52,187.110292206356,0.144057365688446,11.014110143385,0.01,Model,adonis_VG_Nutrition1,Nutrition1,Nutrition1,BF,Nutrition1
Model10,13,146.595523292246,0.148674352857601,35.4785113180124,0.01,Model,adonis_VG_Nutrition1,Diet1,Diet1,BF,Nutrition1
Model,1,2.38944035974621,0.00134216529864401,5.17965701688097,0.01,Model,adonis_VS_Diet1,Sex,Sex,VF,Diet1
Model8,6,139.398824725062,0.0655061336426572,54.4894975252348,0.01,Model,adonis_VS_Diet1,Age2,Age2,VF,Diet1
Model7,2,45.6044010340466,0.0128465189185403,51.6383602405203,0.01,Model,adonis_VS_Diet1,Host,Host,VF,Diet1
Model6,5,69.5237229259982,0.0195844655692201,31.6934116003835,0.01,Model,adonis_VS_Diet1,Continent,Continent,VF,Diet1
Model5,20,113.709242310589,0.0320312930207176,13.1008252802676,0.01,Model,adonis_VS_Diet1,Country,Country,VF,Diet1
Model4,6,109.445911884918,0.0665249273641639,43.4603123248826,0.01,Model,adonis_VS_Diet1,Diease,Diease,VF,Diet1
Model3,1,6.35587149981653,0.00483491737730138,13.5403813556507,0.01,Model,adonis_VS_Diet1,Antibiotic,Antibiotic,VF,Diet1
Model2,35,132.151305436343,0.10384449042949,9.68075890442435,0.01,Model,adonis_VS_Diet1,Nutrition1,Nutrition1,VF,Diet1
Model1,27,261.031931363347,0.0735313164643665,23.2546184311806,0.01,Model,adonis_VS_Diet1,Diet1,Diet1,VF,Diet1
Model,1,2.03616746723927,0.00732741732113225,4.59129591495797,0.01,Model,adonis_VS_Nutrition1,Sex,Sex,VF,Nutrition1
Model17,5,52.5980186095184,0.12023352899446,27.4970538557079,0.01,Model,adonis_VS_Nutrition1,Age2,Age2,VF,Nutrition1
Model16,2,29.2032817934493,0.0177794845543629,34.5101601624702,0.01,Model,adonis_VS_Nutrition1,Host,Host,VF,Nutrition1
Model15,3,10.1913398319828,0.00620467146167273,7.93329267864577,0.01,Model,adonis_VS_Nutrition1,Continent,Continent,VF,Nutrition1
Model14,14,42.9032273035779,0.0261202584206612,7.28185407133431,0.01,Model,adonis_VS_Nutrition1,Country,Country,VF,Nutrition1
Model13,4,16.6179852532539,0.0458405817245755,10.3772655416478,0.01,Model,adonis_VS_Nutrition1,Diease,Diease,VF,Nutrition1
Model12,1,10.036862462552,0.021634035247088,22.5988891877569,0.01,Model,adonis_VS_Nutrition1,Antibiotic,Antibiotic,VF,Nutrition1
Model11,52,162.909019868835,0.0991819488991154,7.96757999045037,0.01,Model,adonis_VS_Nutrition1,Nutrition1,Nutrition1,VF,Nutrition1
Model10,13,112.678333322707,0.0885426297357093,22.0143286422679,0.01,Model,adonis_VS_Nutrition1,Diet1,Diet1,VF,Nutrition1
