"Spe","Phylum","Group","Change","Bacteria"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Intestinibaculum","p__Firmicutes","HFD+Fuco","GD0",0.000103135
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longibaculum","p__Firmicutes","HFD+Fuco","GD0",0.0002627567
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus","p__Firmicutes","HFD","GD10",0.00011821634
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium","p__Fusobacteria","HFD+Fuco","GD0",0.000330210665
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae|g__Mesorhizobium","p__Proteobacteria","Con","GD0",0.000690531559
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales|f__Hyphomonadaceae|g__Hyphomonas","p__Proteobacteria","Con","GD0",8.622706e-05
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter","p__Proteobacteria","Con","GD0",0.000164664464
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis","p__Proteobacteria","Con","GD0",0.000250923317
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax","p__Proteobacteria","Con","GD0",0.000323926115
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria","p__Proteobacteria","Con","GD0",0.0002776236634
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Aliarcobacter","p__Proteobacteria","HFD","GD0",8.1591136e-05
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter","p__Proteobacteria","HFD+Fuco","GD0",0.0006182462896
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Buchnera","p__Proteobacteria","HFD+Fuco","GD0",0.0002663951
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia","p__Proteobacteria","Con","GD0",0.00036167782
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylomonas","p__Proteobacteria","Con","GD0",0.000110059322
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter","p__Proteobacteria","HFD+Fuco","GD0",0.001389573764
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter","p__Proteobacteria","Con","GD0",0.000296300581
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas","p__Proteobacteria","Con","GD0",0.000377276052
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales|f__Spiroplasmataceae|g__Spiroplasma","p__Tenericutes","HFD+Fuco","GD0",0.000126976886
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma","p__Tenericutes","HFD+Fuco","GD0",0.0001242904803
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia","p__Verrucomicrobia","HFD+Fuco","GD10",0.00076001908
