"Contig_number","Mapped_Reads_Number"
"NODE_12819_length_1487_cov_9.844972||full",152
"NODE_18474_length_1187_cov_9.448763||full",116
"NODE_16758_length_1259_cov_8.031561||full",112
"NODE_12042_length_1552_cov_2.106212||full",41
"NODE_12309_length_1527_cov_1.989810||full",33
"NODE_18405_length_1190_cov_1.542731||full",49
"NODE_16128_length_1288_cov_3.879157||full",74
"NODE_10362_length_1713_cov_3.682750||full",112
"NODE_5526_length_2650_cov_3.616956||lt2gene_1",70
"NODE_22389_length_1057_cov_4.002994||full",45
"NODE_15363_length_1327_cov_2.592767||full",53
"NODE_4745_length_2974_cov_2.528606||full",81
"NODE_2987_length_4126_cov_3.415623||full",186
"NODE_11880_length_1565_cov_2.252980||full",36
"NODE_1601_length_6299_cov_13.905349||full",921
"NODE_7420_length_2143_cov_13.659483||full",328
"NODE_2927_length_4186_cov_3.884532||full",180
"NODE_336_length_15433_cov_7.715503||full_1",1217
"NODE_14402_length_1382_cov_2.459683||lt2gene",34
"NODE_15683_length_1310_cov_2.250199||lt2gene",38
"NODE_21719_length_1079_cov_2.162109||full",26
"NODE_5183_length_2792_cov_2.621483||full",85
"NODE_1308_length_7138_cov_13.015954||full",978
"NODE_9330_length_1830_cov_7.191549||full",231
"NODE_4039_length_3319_cov_4.675245||full",176
"NODE_5936_length_2504_cov_4.595345||full",302
"NODE_4634_length_3024_cov_2.785113||full",99
"NODE_6796_length_2280_cov_5.190112||full",139
"NODE_22565_length_1052_cov_2.734203||full",76
"NODE_983_length_8504_cov_5.174577||full",467
"NODE_13107_length_1467_cov_2.073654||full",33
"NODE_4596_length_3040_cov_4.647236||full",268
"NODE_15184_length_1337_cov_2.021841||lt2gene",37
"NODE_15866_length_1300_cov_4.568675||full",64
"NODE_11861_length_1566_cov_3.211118||full",50
"NODE_21226_length_1094_cov_2.067372||lt2gene",23
"NODE_8027_length_2029_cov_2.941743||full",63
"NODE_3359_length_3792_cov_4.870484||full",206
"NODE_16175_length_1286_cov_20.226645||full",240
"NODE_6955_length_2242_cov_2.622771||full",80
"NODE_21394_length_1088_cov_10.766699||full",214
"NODE_7525_length_2120_cov_4.084262||lt2gene_1",78
"NODE_8119_length_2015_cov_2.280612||full",51
"NODE_19065_length_1165_cov_2.694595||full",32
"NODE_21227_length_1094_cov_2.059673||full",25
"NODE_17419_length_1229_cov_1.990630||full",26
"NODE_19897_length_1136_cov_2.303423||full",27
"NODE_21199_length_1094_cov_3.745910||lt2gene",49
"NODE_1092_length_7927_cov_10.504954||full",1497
"NODE_22842_length_1044_cov_8.767442||full",137
"NODE_4375_length_3157_cov_6.615732||full",288
"NODE_4429_length_3126_cov_7.485835||full",319
"NODE_9241_length_1842_cov_6.382764||full",234
"NODE_9516_length_1810_cov_4.485470||full",82
"NODE_8435_length_1962_cov_2.590456||full",56
"NODE_5029_length_2850_cov_4.396064||full",130
"NODE_14204_length_1394_cov_3.141150||full",60
"NODE_11748_length_1576_cov_2.145957||lt2gene",39
"NODE_6466_length_2356_cov_3.967840||full",98
"NODE_13450_length_1443_cov_4.488473||full",65
"NODE_19484_length_1150_cov_1.627397||full",52
"NODE_10341_length_1715_cov_4.774096||full",101
"NODE_19247_length_1158_cov_2.406165||full",28
"NODE_11813_length_1570_cov_2.666007||full",73
"NODE_21994_length_1070_cov_2.821675||lt2gene",86
"NODE_15250_length_1333_cov_2.778560||full",37
"NODE_22724_length_1048_cov_1.882175||lt2gene",26
"NODE_16407_length_1275_cov_4.173770||full_1",14
"NODE_8556_length_1944_cov_2.238221||full",40
"NODE_9786_length_1776_cov_3.624637||lt2gene",112
"NODE_286_length_16783_cov_11.288020||full_1",1882
"NODE_4621_length_3029_cov_3.398117||lt2gene",123
"NODE_5359_length_2722_cov_4.612298||full",141
"NODE_2448_length_4755_cov_5.100000||full_1",111
"NODE_9778_length_1777_cov_5.556911||full",110
"NODE_3534_length_3651_cov_10.350945||lt2gene",452
"NODE_18014_length_1203_cov_5.367596||full",127
"NODE_8705_length_1920_cov_2.863271||full",74
"NODE_19327_length_1155_cov_2.515455||full",31
"NODE_11966_length_1558_cov_3.500333||full",55
"NODE_14694_length_1364_cov_2.304813||full",49
"NODE_9566_length_1804_cov_2.566609||full",66
"NODE_14335_length_1386_cov_3.077385||full",57
"NODE_16336_length_1278_cov_4.081766||full",54
"NODE_15854_length_1301_cov_3.114767||full",46
"NODE_86_length_25490_cov_35.638883||full",9741
"NODE_11692_length_1580_cov_3.777049||full",62
"NODE_7671_length_2089_cov_4.794002||full",193
"NODE_10114_length_1739_cov_2.523159||lt2gene",64
"NODE_6467_length_2356_cov_3.081269||full",67
"NODE_20809_length_1106_cov_3.562322||lt2gene",39
"NODE_5445_length_2685_cov_4.590875||full",222
"NODE_8253_length_1991_cov_3.490702||full",100
"NODE_11264_length_1620_cov_2.686262||full",67
"NODE_8713_length_1919_cov_2.586373||full",56
"NODE_7778_length_2072_cov_3.260783||full",79
"NODE_11560_length_1593_cov_2.066970||full",41
"NODE_14835_length_1356_cov_2.538816||full",34
"NODE_280_length_16984_cov_14.447989||full",2637
"NODE_12769_length_1491_cov_4.436630||full",189
"NODE_15013_length_1345_cov_2.696899||full",39
"NODE_6136_length_2446_cov_5.631953||full_1",31
"NODE_15779_length_1305_cov_1.645600||full",23
"NODE_17846_length_1210_cov_2.203463||full",38
"NODE_2421_length_4791_cov_37.923986||full",1820
"NODE_1750_length_5958_cov_15.658648||full",1324
"NODE_3576_length_3622_cov_3.480516||full",228
"NODE_511_length_12736_cov_8.235786||full",1124
"NODE_4898_length_2909_cov_5.565872||full",446
"NODE_19861_length_1137_cov_3.815157||full",43
"NODE_20333_length_1121_cov_3.820826||full",89
"NODE_23283_length_1032_cov_3.499488||full",93
"NODE_14344_length_1386_cov_2.061608||lt2gene",31
"NODE_20745_length_1109_cov_1.548387||lt2gene",17
"NODE_16946_length_1251_cov_3.425585||lt2gene",59
"NODE_2995_length_4119_cov_5.185285||full",271
"NODE_5241_length_2769_cov_22.142962||full",618
"NODE_3501_length_3671_cov_5.832965||full_1",130
"NODE_14558_length_1371_cov_4.088146||full",213
"NODE_9021_length_1872_cov_3.264722||full",88
"NODE_4560_length_3058_cov_5.561772||full",229
"NODE_4744_length_2974_cov_3.764988||lt2gene",117
"NODE_17523_length_1224_cov_2.710009||full",44
"NODE_2707_length_4427_cov_2.811528||full",134
"NODE_14748_length_1361_cov_2.168453||lt2gene",61
"NODE_5569_length_2636_cov_2.256490||full",72
"NODE_14645_length_1366_cov_3.321892||full",52
"NODE_3484_length_3684_cov_4.176357||full",182
"NODE_5871_length_2528_cov_3.154468||full",122
"NODE_2635_length_4529_cov_4.600134||full",220
"NODE_21713_length_1079_cov_2.486328||lt2gene",46
"NODE_4981_length_2870_cov_3.932860||full",127
"NODE_4166_length_3253_cov_65.575985||full",1918
"NODE_9234_length_1843_cov_2.951902||full",57
"NODE_17069_length_1245_cov_4.150420||full",63
"NODE_7616_length_2101_cov_3.434018||full",81
"NODE_4843_length_2930_cov_5.946783||full",178
"NODE_7222_length_2189_cov_3.707591||full",149
"NODE_17345_length_1232_cov_4.067969||full",92
"NODE_9967_length_1754_cov_2.414950||full",44
"NODE_16147_length_1288_cov_2.102190||full",29
"NODE_5564_length_2638_cov_4.863724||full",137
"NODE_21654_length_1081_cov_2.328460||full",26
"NODE_14865_length_1354_cov_2.011547||full",28
"NODE_3257_length_3885_cov_4.050914||full",187
"NODE_12123_length_1545_cov_2.677181||full",48
"NODE_14861_length_1354_cov_2.635104||full",36
"NODE_624_length_11284_cov_33.163416||full",4663
