"Contig_number","Mapped_Reads_Number"
"NODE_5312_length_3834_cov_6.186822||full_1",218
"NODE_1593_length_8338_cov_10.526983||full",1056
"NODE_6070_length_3511_cov_52.109086||full",1998
"NODE_27272_length_1210_cov_27.710823||lt2gene",343
"NODE_362_length_18103_cov_7.507812||full",1522
"NODE_19034_length_1579_cov_3.217192||full",57
"NODE_25501_length_1272_cov_4.443714||full",88
"NODE_14273_length_1935_cov_3.778723||full",74
"NODE_18500_length_1611_cov_4.537918||lt2gene",74
"NODE_7112_length_3151_cov_3.715762||full",139
"NODE_28277_length_1177_cov_2.242424||lt2gene",37
"NODE_3620_length_4954_cov_3.502552||full",201
"NODE_2908_length_5708_cov_4.049177||full",318
"NODE_673_length_13804_cov_5.651756||full",1013
"NODE_1473_length_8648_cov_4.957524||full",490
"NODE_15221_length_1851_cov_3.820156||full",242
"NODE_18177_length_1632_cov_2.958782||lt2gene",70
"NODE_17950_length_1646_cov_2.896292||full",54
"NODE_22438_length_1400_cov_3.610409||full",55
"NODE_5797_length_3618_cov_8.392366||full",393
"NODE_31432_length_1090_cov_3.514010||full",60
"NODE_10536_length_2398_cov_2.534358||full",70
"NODE_14570_length_1908_cov_3.509984||full",81
"NODE_12146_length_2168_cov_22.049219||full",1146
"NODE_471_length_16140_cov_8.562076||full",1694
"NODE_12263_length_2154_cov_2.716532||full_1",47
"NODE_10262_length_2439_cov_4.004614||full",111
"NODE_8583_length_2771_cov_2.906112||full",86
"NODE_17580_length_1671_cov_3.363243||full",73
"NODE_35286_length_1002_cov_2.462513||lt2gene",33
"NODE_19818_length_1533_cov_3.110961||full",60
"NODE_13714_length_1990_cov_2.913695||full",64
"NODE_4396_length_4367_cov_3.957328||full",291
"NODE_28404_length_1173_cov_4.186941||full",61
"NODE_24012_length_1333_cov_2.622848||full",45
"NODE_9324_length_2612_cov_5.953852||full",225
"NODE_21068_length_1466_cov_4.055280||full",176
"NODE_7863_length_2939_cov_3.292302||full",114
"NODE_22291_length_1407_cov_2.895710||full",43
"NODE_21016_length_1469_cov_2.458982||full",38
"NODE_18460_length_1613_cov_14.812580||full",658
"NODE_34167_length_1025_cov_6.630928||lt2gene",75
"NODE_14072_length_1954_cov_11.291732||full",434
"NODE_5609_length_3697_cov_3.495058||full",154
"NODE_26086_length_1251_cov_11.272575||full",164
"NODE_2267_length_6735_cov_4.186228||full",326
"NODE_2030_length_7231_cov_4.408027||full",363
"NODE_6504_length_3355_cov_3.539091||full",167
"NODE_23585_length_1350_cov_3.086486||full",73
"NODE_22024_length_1420_cov_2.473260||lt2gene",47
"NODE_18967_length_1583_cov_2.289921||full",41
"NODE_32627_length_1061_cov_3.993042||full",29
"NODE_23522_length_1353_cov_2.070878||full",25
"NODE_21507_length_1443_cov_3.059798||full",120
"NODE_21351_length_1452_cov_2.643522||full",64
"NODE_29701_length_1135_cov_2.516667||full",33
"NODE_28658_length_1165_cov_3.965766||full",58
"NODE_30772_length_1107_cov_2.233840||lt2gene",27
"NODE_6713_length_3278_cov_5.327335||full",298
"NODE_12035_length_2182_cov_2.547720||full",69
"NODE_8950_length_2690_cov_42.705882||lt2gene",1107
"NODE_17446_length_1681_cov_3.207872||lt2gene",88
"NODE_27003_length_1220_cov_3.616309||full",106
"NODE_28317_length_1176_cov_2.330955||full",65
"NODE_12400_length_2137_cov_2.895773||full",67
"NODE_28659_length_1165_cov_3.891892||lt2gene",45
"NODE_24011_length_1333_cov_2.625196||full",35
"NODE_4075_length_4595_cov_8.132599||full",427
"NODE_34897_length_1010_cov_2.998953||full",59
"NODE_5250_length_3861_cov_4.744351||full",211
"NODE_10310_length_2431_cov_3.997054||full",154
"NODE_29615_length_1137_cov_3.016636||full",38
"NODE_6451_length_3371_cov_5.856454||full",228
"NODE_3066_length_5536_cov_4.557015||full",315
"NODE_16063_length_1781_cov_8.889919||full",239
"NODE_23081_length_1370_cov_6.121673||full",285
"NODE_16879_length_1721_cov_2.622449||full",47
"NODE_16780_length_1729_cov_3.149940||full",70
"NODE_4157_length_4537_cov_56.993307||full",3073
"NODE_761_length_12777_cov_22.058874||full_1",2815
"NODE_28588_length_1167_cov_3.604317||lt2gene",48
"NODE_3890_length_4749_cov_3.289305||full",215
"NODE_10159_length_2455_cov_4.273750||full",116
"NODE_6460_length_3370_cov_3.865762||full",149
"NODE_27348_length_1208_cov_1.977450||full",33
"NODE_31320_length_1093_cov_2.607900||full",39
"NODE_34573_length_1017_cov_3.041580||full",82
"NODE_19863_length_1530_cov_4.812881||full",92
"NODE_33399_length_1043_cov_2.464575||lt2gene",26
"NODE_11110_length_2314_cov_4.633023||full",202
"NODE_3757_length_4846_cov_5.753496||full",355
"NODE_30281_length_1119_cov_6.769737||full",258
"NODE_19618_length_1544_cov_12.204164||full",258
"NODE_3452_length_5107_cov_5.010095||full",408
"NODE_8019_length_2903_cov_3.807584||full",121
"NODE_12853_length_2083_cov_4.101085||full",162
"NODE_29582_length_1138_cov_3.653740||lt2gene",54
"NODE_33307_length_1045_cov_3.420202||full",38
"NODE_26505_length_1237_cov_4.385787||full",55
"NODE_2723_length_5983_cov_5.472841||full",464
"NODE_5084_length_3940_cov_7.160360||full",965
"NODE_4019_length_4637_cov_22.331515||full",1074
"NODE_30258_length_1120_cov_3.685446||full",91
"NODE_13828_length_1979_cov_3.370582||full",74
"NODE_29404_length_1144_cov_2.189164||full",25
"NODE_5615_length_3695_cov_5.723077||full",290
"NODE_20326_length_1504_cov_6.356798||full",199
"NODE_6746_length_3267_cov_5.633562||full",199
"NODE_32807_length_1057_cov_2.018962||lt2gene",25
"NODE_6124_length_3492_cov_8.610416||full",321
"NODE_16037_length_1783_cov_16.331597||lt2gene",540
"NODE_26434_length_1240_cov_1.304641||lt2gene",31
"NODE_25357_length_1278_cov_2.311529||full",60
"NODE_22167_length_1413_cov_3.081738||full",45
"NODE_19381_length_1558_cov_2.216900||lt2gene",36
"NODE_21077_length_1465_cov_6.289362||full",125
"NODE_13946_length_1967_cov_3.067469||full",68
"NODE_30588_length_1111_cov_3.392992||lt2gene",52
"NODE_17560_length_1672_cov_2.999382||full",56
"NODE_321_length_19171_cov_8.593743||full",1942
"NODE_14392_length_1923_cov_8.174518||full",209
"NODE_16821_length_1726_cov_4.156792||full",120
"NODE_5941_length_3559_cov_3.019406||full",121
"NODE_26341_length_1243_cov_2.108586||full",51
"NODE_16365_length_1760_cov_3.137243||full",63
"NODE_28097_length_1182_cov_5.950311||full",91
"NODE_20245_length_1509_cov_2.953232||full",47
"NODE_15718_length_1811_cov_2.728929||full",93
"NODE_17946_length_1646_cov_3.425519||full",59
"NODE_5340_length_3824_cov_3.401167||full",176
"NODE_1796_length_7790_cov_5.132644||full",441
"NODE_11098_length_2315_cov_4.792920||full",433
"NODE_13778_length_1984_cov_3.290306||full",169
"NODE_7066_length_3164_cov_4.807977||full_1",148
"NODE_31571_length_1086_cov_3.698351||full",40
"NODE_12381_length_2139_cov_4.452495||full",130
"NODE_9695_length_2539_cov_3.042673||full",79
"NODE_4771_length_4109_cov_10.676122||full",569
"NODE_15482_length_1829_cov_3.575536||full",108
"NODE_2869_length_5767_cov_25.907388||full",1566
"NODE_13977_length_1964_cov_2.936092||full",67
"NODE_12838_length_2085_cov_4.486207||full",153
"NODE_17875_length_1651_cov_3.138471||full",54
"NODE_13737_length_1988_cov_2.276772||full",117
"NODE_24684_length_1304_cov_3.765412||full",73
"NODE_22851_length_1380_cov_3.923774||full",58
"NODE_29160_length_1151_cov_2.596715||full",67
"NODE_7430_length_3055_cov_5.497667||full",223
"NODE_23000_length_1374_cov_2.846854||full",164
"NODE_23847_length_1339_cov_2.684579||full",52
"NODE_18884_length_1588_cov_5.263536||full",92
"NODE_30326_length_1118_cov_3.720602||lt2gene",46
"NODE_34947_length_1009_cov_3.056604||lt2gene",33
"NODE_20737_length_1484_cov_3.044087||full",64
"NODE_10890_length_2345_cov_4.675983||full",121
"NODE_14571_length_1908_cov_3.182947||lt2gene",116
"NODE_13997_length_1962_cov_3.338228||full",123
"NODE_28025_length_1185_cov_2.653097||full",36
"NODE_27675_length_1196_cov_4.879930||full",65
"NODE_9285_length_2619_cov_4.598674||full",158
"NODE_18671_length_1601_cov_5.340233||full",88
"NODE_17497_length_1676_cov_6.735349||full",1122
"NODE_5090_length_3937_cov_7.545853||full",461
"NODE_20156_length_1515_cov_1.819178||full",61
"NODE_30754_length_1107_cov_4.055133||full",53
"NODE_15619_length_1819_cov_2.651927||full",49
"NODE_18213_length_1629_cov_4.757306||full",82
"NODE_25860_length_1260_cov_2.198340||full",36
"NODE_19511_length_1551_cov_1.989973||lt2gene",38
"NODE_364_length_18077_cov_9.477250||full",1228
"NODE_7805_length_2955_cov_3.328276||full",131
"NODE_20236_length_1509_cov_10.951857||full",179
"NODE_27067_length_1218_cov_3.614789||full",104
"NODE_14944_length_1875_cov_2.891209||lt2gene",65
"NODE_29645_length_1136_cov_4.507863||lt2gene",113
"NODE_14906_length_1878_cov_3.865606||full",94
"NODE_15970_length_1788_cov_7.533756||full",160
"NODE_18146_length_1634_cov_3.046232||full",58
"NODE_21350_length_1452_cov_2.689334||full",55
"NODE_22447_length_1400_cov_2.123420||full",33
"NODE_10670_length_2378_cov_2.814034||full",94
"NODE_3828_length_4797_cov_5.803458||full",832
"NODE_5085_length_3940_cov_6.046847||full",276
"NODE_1506_length_8564_cov_5.206722||full",563
"NODE_2641_length_6099_cov_5.893614||full",439
"NODE_10139_length_2458_cov_4.408240||full",125
"NODE_24497_length_1311_cov_3.292197||full",44
"NODE_20778_length_1482_cov_3.329362||full",57
"NODE_24687_length_1304_cov_3.204964||lt2gene",42
"NODE_19327_length_1561_cov_4.048473||full",155
"NODE_12714_length_2100_cov_3.614670||full",117
"NODE_10005_length_2482_cov_3.190770||full",109
"NODE_32316_length_1068_cov_3.576505||full",40
"NODE_15084_length_1864_cov_4.479270||full",279
"NODE_15769_length_1806_cov_6.483152||full",134
"NODE_33164_length_1048_cov_4.242699||full",47
"NODE_22619_length_1391_cov_16.587575||full",139
"NODE_14451_length_1918_cov_4.362856||full",90
"NODE_12726_length_2099_cov_3.079256||full",146
"NODE_16627_length_1739_cov_2.900238||full",89
"NODE_18290_length_1624_cov_4.100064||lt2gene",73
"NODE_15255_length_1848_cov_2.810374||full",64
"NODE_3323_length_5240_cov_13.448795||full",897
"NODE_2658_length_6084_cov_5.676563||full",382
"NODE_23129_length_1368_cov_18.126428||full",362
"NODE_4597_length_4223_cov_4.238004||full",209
"NODE_8316_length_2832_cov_2.765934||full",111
"NODE_26346_length_1242_cov_4.506318||full",70
"NODE_6048_length_3518_cov_4.968236||full",309
"NODE_30787_length_1106_cov_4.264510||lt2gene",72
"NODE_15322_length_1842_cov_14.918299||full",282
"NODE_9550_length_2567_cov_2.955812||full",205
"NODE_32968_length_1053_cov_3.478958||full",39
"NODE_40_length_42720_cov_56.103598||full_1",18071
"NODE_4926_length_4022_cov_6.966473||full",1184
"NODE_9491_length_2578_cov_3.384067||full",134
"NODE_24355_length_1317_cov_5.650555||lt2gene",104
"NODE_18268_length_1625_cov_14.382166||full",239
"NODE_12287_length_2151_cov_5.694179||full",185
"NODE_15569_length_1822_cov_5.876061||full",162
"NODE_14120_length_1950_cov_2.566755||full",103
"NODE_148_length_27111_cov_10.847169||full",3624
"NODE_26866_length_1225_cov_3.163248||lt2gene",97
"NODE_17219_length_1698_cov_2.388923||full",133
"NODE_23281_length_1362_cov_4.330528||full",138
"NODE_12945_length_2073_cov_15.305253||lt2gene",325
"NODE_28922_length_1158_cov_2.398005||full",34
"NODE_25133_length_1287_cov_1.938312||full",37
"NODE_23177_length_1366_cov_6.619375||lt2gene",114
"NODE_34195_length_1025_cov_2.683505||full",29
"NODE_3765_length_4837_cov_26.173149||full",2413
"NODE_18262_length_1626_cov_3.623806||lt2gene",82
"NODE_17720_length_1661_cov_4.006849||full",118
"NODE_6798_length_3249_cov_5.363494||full",360
"NODE_30146_length_1123_cov_3.560861||full",53
"NODE_21279_length_1455_cov_4.712143||full",81
"NODE_18418_length_1616_cov_3.565663||full",64
"NODE_31785_length_1081_cov_2.367446||full",33
"NODE_25058_length_1289_cov_4.183955||lt2gene",157
"NODE_25261_length_1282_cov_2.053790||full",52
"NODE_33061_length_1051_cov_2.277108||full",54
"NODE_16363_length_1760_cov_3.928446||full",72
"NODE_10964_length_2336_cov_2.725997||full",79
"NODE_30487_length_1114_cov_2.628895||full",29
"NODE_17761_length_1658_cov_2.799750||full",53
"NODE_1674_length_8107_cov_9.482861||full",822
"NODE_23695_length_1345_cov_2.049612||full",34
"NODE_1537_length_8485_cov_8.218268||full",829
"NODE_1919_length_7479_cov_4.935075||full",416
"NODE_7392_length_3064_cov_6.980724||full",244
"NODE_21432_length_1447_cov_3.862069||full",74
"NODE_6368_length_3405_cov_2.706567||full",128
"NODE_4017_length_4639_cov_4.035558||full",198
"NODE_34843_length_1011_cov_3.620293||full",64
"NODE_11305_length_2286_cov_2.684895||full",95
"NODE_23080_length_1370_cov_7.447909||lt2gene",103
"NODE_19108_length_1575_cov_3.788816||lt2gene",76
"NODE_29083_length_1153_cov_3.486339||full",62
"NODE_12718_length_2099_cov_15.181996||full",603
"NODE_17955_length_1645_cov_4.452201||full",101
"NODE_20381_length_1501_cov_3.888658||full",358
"NODE_29349_length_1145_cov_6.481651||lt2gene",78
"NODE_28593_length_1167_cov_2.985612||full",65
"NODE_30195_length_1122_cov_2.609185||full",29
"NODE_13167_length_2048_cov_3.681887||full",135
"NODE_26654_length_1232_cov_6.506372||full",163
"NODE_3297_length_5268_cov_21.115864||full",1138
"NODE_3486_length_5076_cov_4.784107||full_1",153
"NODE_13848_length_1977_cov_3.860562||full",99
"NODE_21164_length_1461_cov_5.788051||full",213
"NODE_20451_length_1498_cov_3.098406||full",58
"NODE_9086_length_2662_cov_4.803606||full",153
"NODE_11551_length_2250_cov_3.751253||full",100
"NODE_21029_length_1468_cov_3.646143||full",126
"NODE_21310_length_1454_cov_3.552538||full",49
"NODE_8374_length_2817_cov_3.185735||full",105
"NODE_24915_length_1295_cov_3.680645||full",51
"NODE_16406_length_1756_cov_3.855379||lt2gene",76
"NODE_23370_length_1359_cov_3.184816||full",67
"NODE_32205_length_1071_cov_2.456693||lt2gene",27
"NODE_18751_length_1597_cov_3.584955||full",79
"NODE_5035_length_3963_cov_3.447544||full",165
"NODE_2643_length_6096_cov_5.667108||full",423
"NODE_10551_length_2395_cov_6.502991||full",801
"NODE_13_length_54490_cov_35.905575||full_1",2962
"NODE_18517_length_1610_cov_4.756270||full",101
"NODE_23166_length_1367_cov_3.690549||lt2gene",69
"NODE_33261_length_1046_cov_3.353179||lt2gene",45
"NODE_28280_length_1177_cov_1.744207||full",36
"NODE_22784_length_1383_cov_4.501506||full",126
"NODE_31036_length_1100_cov_3.262201||full",66
"NODE_27757_length_1194_cov_2.402985||lt2gene",46
"NODE_23435_length_1356_cov_5.918524||full",671
"NODE_1085_length_10408_cov_13.499179||full",1602
"NODE_1967_length_7364_cov_73.058695||full_1",6373
"NODE_3581_length_4991_cov_7.039708||full",462
"NODE_7707_length_2982_cov_3.646737||full",214
"NODE_24806_length_1299_cov_6.482315||full",84
"NODE_15308_length_1844_cov_2.223030||full",64
"NODE_20685_length_1487_cov_1.877095||full",40
"NODE_6527_length_3345_cov_79.977812||full",2855
"NODE_34373_length_1021_cov_3.563147||full",37
"NODE_25713_length_1264_cov_7.954508||full",206
"NODE_14015_length_1960_cov_12.162730||full",318
"NODE_9437_length_2589_cov_19.139700||full",430
"NODE_15928_length_1792_cov_2.758780||full",95
"NODE_16402_length_1756_cov_4.618460||full",204
"NODE_30655_length_1110_cov_1.440758||full",26
"NODE_24501_length_1311_cov_3.075637||full",52
"NODE_28665_length_1165_cov_3.391892||full",47
"NODE_30885_length_1104_cov_1.499523||full",25
"NODE_23350_length_1360_cov_1.935632||full",28
"NODE_2792_length_5873_cov_9.651770||full",614
"NODE_21687_length_1434_cov_5.956490||full",126
"NODE_7358_length_3076_cov_4.182059||full",147
"NODE_26464_length_1239_cov_2.594595||full",45
"NODE_17044_length_1710_cov_1.900906||full",38
"NODE_18159_length_1633_cov_3.708492||full",79
"NODE_30031_length_1127_cov_1.955224||full",12
"NODE_5048_length_3954_cov_12.745576||full",2225
"NODE_6827_length_3240_cov_4.809105||full",175
"NODE_4962_length_4006_cov_8.010630||full",792
"NODE_12323_length_2147_cov_4.780593||full",465
"NODE_22085_length_1417_cov_4.696769||full",89
"NODE_27481_length_1203_cov_4.479094||full",119
"NODE_26143_length_1250_cov_1.768201||full",22
"NODE_24089_length_1329_cov_1.884615||full",37
"NODE_11059_length_2322_cov_3.614468||lt2gene",105
"NODE_22992_length_1374_cov_3.121304||full",51
"NODE_16764_length_1730_cov_3.888955||full",70
"NODE_4385_length_4370_cov_5.265817||full",298
"NODE_8320_length_2830_cov_4.746306||full",178
"NODE_4517_length_4279_cov_3.519650||full",166
"NODE_13389_length_2023_cov_5.138211||full",152
"NODE_26812_length_1227_cov_3.101536||full",58
"NODE_30531_length_1113_cov_1.633270||full",45
"NODE_6338_length_1699_cov_2.261557||full",42
"NODE_5554_length_1867_cov_3.390728||full",65
"NODE_6889_length_1602_cov_2.367809||full",45
"NODE_2981_length_2955_cov_2.679655||full",97
"NODE_6404_length_1686_cov_3.203556||full",108
"NODE_823_length_7081_cov_9.297609||full",692
"NODE_5264_length_1945_cov_2.091005||full",53
"NODE_14578_length_1000_cov_2.445503||full",27
"NODE_5100_length_1986_cov_17.452615||full",358
"NODE_10196_length_1241_cov_1.942664||full",24
"NODE_2745_length_3172_cov_3.670196||full",130
"NODE_13454_length_1048_cov_2.126888||full",24
"NODE_5010_length_2015_cov_2.160204||full",46
"NODE_12196_length_1111_cov_2.440341||full",32
"NODE_14487_length_1004_cov_1.860906||full",19
"NODE_11368_length_1159_cov_3.427536||full",28
"NODE_1745_length_4373_cov_34.260074||full",1489
"NODE_4337_length_2238_cov_6.393953||full",157
"NODE_10570_length_1213_cov_21.835924||full",986
"NODE_1500_length_4822_cov_3.597231||full",182
"NODE_3800_length_2444_cov_9.780661||full",270
"NODE_2235_length_3694_cov_4.305578||full",114
"NODE_8240_length_1422_cov_7.200439||lt2gene",103
"NODE_5954_length_1772_cov_2.393128||full",47
"NODE_2625_length_3271_cov_4.435323||full",112
"NODE_10401_length_1226_cov_2.414176||full",30
"NODE_9816_length_1270_cov_2.244444||full",23
"NODE_6967_length_1590_cov_2.690554||full",46
"NODE_9771_length_1273_cov_3.385057||full",43
"NODE_3743_length_2474_cov_2.867714||full",71
"NODE_252_length_13128_cov_11.161478||full_1",1186
"NODE_10390_length_1227_cov_1.788396||lt2gene",24
"NODE_5575_length_1861_cov_4.532115||full",90
"NODE_12606_length_1088_cov_4.539206||full",49
"NODE_5723_length_1823_cov_5.697964||full",106
"NODE_6800_length_1617_cov_3.323944||full",55
"NODE_8435_length_1401_cov_2.139673||full",32
"NODE_664_length_8163_cov_4.278614||full",380
"NODE_228_length_13935_cov_20.009798||full",3423
"NODE_1258_length_5361_cov_3.744252||full",227
"NODE_7976_length_1456_cov_3.837259||full",58
"NODE_4854_length_2057_cov_14.778222||full",353
"NODE_11527_length_1149_cov_2.528336||full",30
"NODE_2618_length_3281_cov_3.408246||lt2gene_1",41
"NODE_2880_length_3043_cov_6.057898||full",187
"NODE_1713_length_4424_cov_6.043488||full",302
"NODE_297_length_12285_cov_4.813818||full",642
"NODE_9198_length_1323_cov_6.426656||full",129
"NODE_11290_length_1163_cov_2.879061||lt2gene",35
"NODE_5451_length_1893_cov_6.906964||full",140
"NODE_6077_length_1751_cov_2.523585||lt2gene",45
"NODE_8952_length_1346_cov_3.569326||full",49
"NODE_7447_length_1525_cov_2.459184||lt2gene",60
"NODE_13906_length_1028_cov_2.269270||lt2gene",23
"NODE_13789_length_1033_cov_3.431493||lt2gene",40
"NODE_7500_length_1518_cov_3.871497||full",67
"NODE_6587_length_1652_cov_2.174703||full",39
"NODE_13839_length_1031_cov_1.703893||full",24
"NODE_12724_length_1083_cov_1.990272||full",22
"NODE_10546_length_1216_cov_1.569337||full",34
"NODE_13_length_42099_cov_15.692417||full",6976
"NODE_525_length_9213_cov_6.289364||full",654
"NODE_236_length_13564_cov_5.686505||full_1",435
"NODE_1358_length_5094_cov_3.619964||full",205
"NODE_4744_length_2096_cov_2.837825||full",52
"NODE_6024_length_1760_cov_2.139589||lt2gene",38
"NODE_1622_length_4598_cov_4.528285||full",228
"NODE_6108_length_1745_cov_5.631361||lt2gene",110
"NODE_7815_length_1476_cov_2.216045||full",33
"NODE_258_length_13004_cov_6.197004||full",871
"NODE_6279_length_1707_cov_2.772397||full",68
"NODE_3308_length_2716_cov_5.296505||full",163
"NODE_4199_length_2287_cov_4.000000||full",95
"NODE_3809_length_2442_cov_4.051110||full",223
"NODE_3658_length_2517_cov_3.634850||lt2gene",96
"NODE_13762_length_1034_cov_6.373851||full",65
"NODE_4401_length_2217_cov_3.072155||full",78
"NODE_11372_length_1159_cov_3.213768||full",38
"NODE_7673_length_1497_cov_3.107490||lt2gene",55
"NODE_12590_length_1089_cov_3.880077||lt2gene",48
"NODE_4680_length_2121_cov_3.087125||full",73
"NODE_2226_length_3703_cov_5.362116||full",206
"NODE_84_length_22456_cov_5.933039||full",1490
"NODE_2872_length_3047_cov_5.827206||full",188
"NODE_8588_length_1384_cov_2.733634||full",38
"NODE_10129_length_1245_cov_4.033613||full",51
"NODE_7911_length_1464_cov_2.384670||full",35
"NODE_5170_length_1964_cov_5.353064||full",127
"NODE_8537_length_1389_cov_2.416042||full",36
"NODE_9907_length_1263_cov_2.009106||full",30
"NODE_13666_length_1039_cov_1.990854||full",21
"NODE_13354_length_1053_cov_1.804609||lt2gene",20
"NODE_28_length_34308_cov_84.159315||full",30276
"NODE_14568_length_1000_cov_3.258201||full",44
"NODE_3861_length_2417_cov_3.874259||full",124
"NODE_3519_length_2597_cov_5.077105||full",148
"NODE_1023_length_6169_cov_3.590612||full",230
"NODE_1880_length_4175_cov_3.877427||lt2gene",171
"NODE_9977_length_1256_cov_3.064113||full",39
"NODE_1375_length_5052_cov_5.003402||full",268
"NODE_6878_length_1603_cov_2.486434||full",62
"NODE_34_length_32593_cov_8.082457||full",2772
"NODE_13963_length_1025_cov_3.407216||full",36
"NODE_5210_length_1956_cov_4.624408||full",57
"NODE_975_length_6332_cov_6.141310||full",500
"NODE_7041_length_1577_cov_2.603154||full",63
"NODE_14012_length_1023_cov_2.181818||lt2gene",22
"NODE_4851_length_2058_cov_6.092361||full",269
"NODE_6449_length_1678_cov_2.543438||full",51
"NODE_13978_length_1025_cov_1.875258||lt2gene",19
"NODE_3522_length_2597_cov_4.354445||full",143
"NODE_11282_length_1164_cov_1.621280||full",24
"NODE_1_length_96620_cov_65.603169||0_partial",19691
"NODE_1307_length_5231_cov_4.973918||full",282
"NODE_621_length_8421_cov_6.728305||full",598
"NODE_2946_length_2980_cov_3.652308||full",118
"NODE_3323_length_2710_cov_10.253861||full",274
"NODE_4110_length_2318_cov_2.926646||full",72
"NODE_1729_length_4397_cov_4.817135||full",224
"NODE_4142_length_2307_cov_3.575488||full",90
"NODE_7003_length_1584_cov_5.758666||full",93
"NODE_13843_length_1030_cov_5.172308||lt2gene",61
"NODE_3931_length_2389_cov_2.432305||full",63
"NODE_9801_length_1271_cov_2.605263||full",33
"NODE_11733_length_1136_cov_4.090657||full",47
"NODE_433_length_10193_cov_12.835964||full",1387
"NODE_10215_length_1239_cov_18.892736||full",259
"NODE_7509_length_1517_cov_4.308482||full",74
"NODE_673_length_8121_cov_9.319365||full",817
"NODE_12864_length_1076_cov_2.201763||full",31
"NODE_2335_length_3582_cov_4.423589||full",163
"NODE_10061_length_1250_cov_1.961506||full",33
"NODE_4225_length_2280_cov_4.356854||full",104
"NODE_11259_length_1165_cov_2.327027||lt2gene",34
"NODE_9569_length_1292_cov_5.797090||full",89
"NODE_14296_length_1011_cov_2.173640||lt2gene",28
"NODE_2551_length_3345_cov_5.136474||full",185
"NODE_11717_length_1137_cov_5.037893||full",77
"NODE_2622_length_3276_cov_3.721205||full",135
"NODE_4070_length_2335_cov_2.964474||full",71
"NODE_672_length_8122_cov_7.720962||full",702
"NODE_609_length_8504_cov_11.528820||full_1",973
"NODE_2619_length_3280_cov_13.101705||full",396
"NODE_1146_length_5723_cov_4.106210||full",283
"NODE_10967_length_1185_cov_2.269912||full",28
"NODE_2908_length_3011_cov_6.877876||full_1",83
"NODE_4185_length_2292_cov_3.795709||lt2gene",92
"NODE_11965_length_1124_cov_2.106642||full",27
"NODE_6579_length_1653_cov_2.064456||lt2gene",60
"NODE_6860_length_1607_cov_1.741624||full",36
"NODE_698_length_7911_cov_10.237907||full",885
"NODE_262_length_12904_cov_5.526189||full",756
"NODE_7516_length_1516_cov_4.490760||lt2gene",71
"NODE_2755_length_3161_cov_3.104958||full",101
"NODE_3627_length_2535_cov_3.885081||full",209
"NODE_13366_length_1052_cov_2.862588||full",30
"NODE_512_length_9348_cov_6.195201||full",631
"NODE_4316_length_2245_cov_6.740183||full",146
"NODE_8529_length_1390_cov_2.876404||full",42
"NODE_464_length_9886_cov_5.551928||full",708
"NODE_3558_length_2578_cov_5.397939||full",147
"NODE_13621_length_1041_cov_2.832657||full",41
"NODE_1838_length_4221_cov_5.540566||full",265
"NODE_10834_length_1194_cov_2.700615||full",38
"NODE_10076_length_1249_cov_2.447236||full",31
"NODE_8075_length_1443_cov_3.188040||lt2gene",50
"NODE_13614_length_1041_cov_4.227181||full",59
"NODE_995_length_6234_cov_9.294061||full",617
"NODE_9200_length_1323_cov_3.817035||full",55
"NODE_9331_length_1312_cov_4.770088||full",65
"NODE_3494_length_2611_cov_2.618545||full",108
"NODE_4131_length_2310_cov_4.786696||lt2gene",130
"NODE_6999_length_1585_cov_3.576471||full",59
"NODE_7962_length_1457_cov_3.101997||full",46
"NODE_14165_length_1016_cov_6.329865||full",58
"NODE_5525_length_1876_cov_2.917079||full",66
"NODE_7540_length_1513_cov_5.925926||full",94
"NODE_7076_length_1572_cov_3.318392||full",54
"NODE_10785_length_1197_cov_3.613835||lt2gene",43
"NODE_1686_length_4473_cov_5.213445||full",243
"NODE_1669_length_4512_cov_10.315234||full",536
"NODE_3192_length_2786_cov_15.898572||full",491
"NODE_12867_length_1075_cov_14.914706||full",164
"NODE_3879_length_2412_cov_3.816292||full",92
"NODE_8559_length_1387_cov_2.594595||full",46
"NODE_7306_length_1540_cov_5.487542||full",89
"NODE_10788_length_1197_cov_3.236427||full",39
"NODE_728_length_7707_cov_5.858860||full",533
"NODE_4996_length_2019_cov_2.932790||full",60
"NODE_6617_length_1646_cov_2.768699||full",47
"NODE_4777_length_2086_cov_3.117676||full",67
"NODE_13164_length_1060_cov_3.962189||full",29
"NODE_2689_length_3215_cov_7.366772||full",259
"NODE_6975_length_1589_cov_3.071056||full",60
"NODE_2731_length_3181_cov_5.370441||full",167
"NODE_14420_length_1006_cov_2.613039||lt2gene",28
"NODE_5743_length_1818_cov_3.148043||full",70
"NODE_14109_length_1019_cov_2.190871||full",28
"NODE_6236_length_1717_cov_3.015644||full_1",27
"NODE_12014_length_1121_cov_2.285178||full",26
"NODE_10244_length_1238_cov_2.046492||full",26
"NODE_9417_length_1305_cov_2.377600||full",62
"NODE_56_length_26852_cov_13.307199||full",3677
"NODE_702_length_7886_cov_4.420508||full",398
"NODE_12043_length_1119_cov_6.015038||full",99
"NODE_2366_length_3546_cov_2.527929||full",98
"NODE_12147_length_1113_cov_7.075614||full",83
"NODE_5680_length_1833_cov_2.634983||full",49
"NODE_1285_length_5285_cov_4.325430||full",234
"NODE_1581_length_4684_cov_5.463815||full",269
